"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Central African Republic","CAF","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9.1618595123291","10.1394186019897","11.0980224609375","12.0361928939819","15.6000003814697","13.8298826217651","14.7449054718018","15.6655464172363","16.5987529754639","17.5514678955078","20.263671875","19.5263633728027","11.8599996566772","21.5615825653076","24.8999996185303","26.058967590332","27.0816841125488","27.9654445648193","28.6945018768311","29.4680404663086","30.4521179199219","31.4653224945068","32.2973785400391","32.0999984741211","33.5629196166992","","",
"Canada","CAN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Central Europe and the Baltics","CEB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9170951681014","100","100","100","99.9835808576267","","",
"Switzerland","CHE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Channel Islands","CHI","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","","",
"Chile","CHL","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.846714","99.1867752075195","99.107534","99.3453903198242","99.4167938232422","99.4787292480469","99.441775","99.5615158081055","99.667146","99.5701675415039","99.782112121582","99.5044708251953","99.4712982177734","99.7075042724609","99.4287567138672","99.4332733154297","99.8149490356445","99.5117797851563","99.5764923095703","99.8690338134766","99.7284240722656","99.8569107055664","100","99.8000030517578","100","99.8768615722656","100","99.8000030517578","100","100","100","","",
"China","CHN","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.7928695678711","99.763671875","99.7400970458984","99.7290802001953","99.7375793457031","99.7704238891602","99.8240356445313","99.8927307128906","99.9512481689453","100","99.998176574707","100","100","100","100","100","100","100","100","100","","",
"Cote d'Ivoire","CIV","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.7","78.3763961791992","79.044189453125","79.6961898803711","80.329231262207","85.9","81.5455093383789","82.1313705444336","82.7159118652344","83.3060684204102","83.9087905883789","86.4000015258789","91.2270126342773","85.8449478149414","88.7699966430664","87.2192001342773","87.9147262573242","88.0999984741211","88.0999984741211","89.9679641723633","90.6303176879883","86.5","92","92.5677871704102","93.2034378051758","93.8371810913086","94.4706039428711","","",
"Cameroon","CMR","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63","70.0741653442383","70.9762649536133","71.8720397949219","72.7583389282227","73.6319961547852","74.489860534668","79","76.1472473144531","79","83.9503402709961","78.5389404296875","79.3364868164063","77.0999984741211","80.9762115478516","73","90.4000015258789","83.5947341918945","84.4939422607422","87.3780364990234","87.5","88.2696990966797","88.5418395996094","89.1999969482422","89.8022079467773","90.6547775268555","91.5016326904297","90","93.1857986450195","94.026611328125","","",
"Congo, Dem. Rep.","COD","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","23.8430118560791","25.3282089233398","26.8190231323242","28.3224010467529","30","31.3925247192383","36.5999984741211","34.5436134338379","36.1360931396484","37.7322807312012","39.3264923095703","40.7999992370605","42.487491607666","42","36.4427757263184","38.0421333312988","39.5517539978027","40.5148239135742","41.1811485290527","40.6599311828613","","",
